Stepdown.abs,Stepup.abs,Triangle.abs,Highline.abs,Lowline.abs,Wavelength
4.75E-05,0.000165466,0.000232363,0.000309338,0.000175686,2194.43
7.16E-05,0.00022377,0.000239528,0.000279827,0.000195481,1979.52
7.82E-05,0.00031709,0.000243848,0.000283718,0.000256095,1802.95
8.38E-05,0.000431019,0.000254186,0.000306705,0.000282535,1655.29
0.000105546,0.000549934,0.000257488,0.000316156,0.000349585,1530
0.000122825,0.000671164,0.000271785,0.000303001,0.000437307,1422.33
0.000136621,0.000796638,0.000279874,0.000284651,0.000618779,1328.82
0.000168435,0.000915007,0.00030093,0.000280427,0.00114659,1246.85
0.000209434,0.00101138,0.000314814,0.000293545,0.00152781,1174.41
0.000244859,0.00107655,0.000340896,0.000309981,0.0015368,1109.92
0.000296329,0.00110699,0.000362658,0.000314693,0.00166047,1052.14
0.00037959,0.00110168,0.000394514,0.000308215,0.00221463,1000.08
0.000491847,0.00105619,0.000428699,0.000306773,0.00347927,952.933
0.000697396,0.000960577,0.000468916,0.000326992,0.00458408,910.029
0.00120964,0.000821169,0.000520755,0.000370565,0.00471627,870.822
0.00165742,0.000670545,0.000573227,0.000422527,0.00460928,834.854
0.00149392,0.000533056,0.000646791,0.000463297,0.00401746,801.739
0.00174378,0.000417062,0.000716077,0.000482473,0.00317116,771.151
0.00173719,0.000325769,0.000813247,0.000479831,0.00246152,742.811
0.00211518,0.000260186,0.000907404,0.000449796,0.00211033,716.48
0.00322832,0.000218352,0.00102989,0.00038896,0.0020591,691.952
0.00638564,0.000195425,0.00116246,0.000331501,0.00219603,669.048
0.0132929,0.000185245,0.00130351,0.000302362,0.00259861,647.612
0.0127978,0.000182251,0.00147529,0.000298463,0.00296657,627.507
0.0114838,0.000182616,0.00158206,0.000314168,0.00299593,608.612
0.0202257,0.000184331,0.00168001,0.000347023,0.00263159,590.822
0.0591563,0.000186683,0.00132289,0.000394589,0.00206422,574.042
0.0322698,0.000189642,0.000512586,0.000454621,0.00160368,558.189
0.0105991,0.000193411,0.000191549,0.000530587,0.00135888,543.189
0.00627094,0.000198166,0.000386387,0.000637927,0.00113541,528.973
0.00513463,0.000203952,0.000528366,0.00080382,0.000986559,515.483
0.00261526,0.000210652,0.00061879,0.0010563,0.000682457,502.663
0.00235046,0.000217994,0.000623538,0.00140565,0.000455011,490.466
0.00184506,0.000225588,0.000609014,0.00182743,0.000398311,478.846
0.00146822,0.000232968,0.000576669,0.0022578,0.000321643,467.765
0.000826303,0.000239643,0.000533611,0.00260684,0.000312585,457.184
0.000445356,0.000245162,0.00050472,0.00278658,0.000292712,447.072
0.000603845,0.000249172,0.000466206,0.00274297,0.000557175,437.398
0.000696611,0.000251476,0.000446084,0.002478,0.000399096,428.133
0.000505963,0.000252078,0.000423447,0.00205229,0.000409507,419.252
0.000497866,0.000251201,0.000410385,0.00156606,0.000352308,410.733
0.000424144,0.000249291,0.000405062,0.00112548,0.000290879,402.553
0.00036001,0.000246978,0.00039926,0.000806332,0.000332984,394.692
0.00035809,0.000245034,0.000408206,0.000628929,0.000297044,387.132
0.000359557,0.00024431,0.000412962,0.00055789,0.000285814,379.857
0.000326703,0.000245689,0.000431723,0.000533896,0.000285033,372.85
0.000294492,0.000250056,0.000451792,0.000518481,0.000236338,366.097
0.000277197,0.000258292,0.000477307,0.000510713,0.000241764,359.584
0.000249331,0.000271296,0.000515457,0.000529283,0.000219576,353.299
0.000207684,0.000290007,0.000548803,0.000591294,0.00019963,347.229